slug,Відповідальна особа,Категорія,Підкатегорія,товари,price,name,type,description,quantity,sold,global_rating(0-5),discount,not used
slug_031,,,печиво з передбаченням,https://kashalot.gift/ua/patrotichne-pechivo-peredbachennja/,340,Патріотичні печива-передбачення,Печиво з передбаченням,"Не треба мати дар пророцтва або надприродні здібності, щоб зазирнути у майбутнє. У цьому майбутньому Україна буде вільною, щасливою та з перемогою. У цьому майбутньому будуть кохання, щастя та достаток під мирним небом. І заглянути туди можна за допомогою нашого патріотичного печива із пророкуваннями.

Це символічний і водночас незвичайний презент, який розірве замкнене коло банальних та набридлих подарунків. При цьому він недорогий, але не схожий на все, що ви бачили до цього. Цей патріотичний подарунок зроблений у коробці зі шпону, він включає 10 печив з веселими і мотивуючими пророкуваннями. Кожне печиво зроблено у жовтому чи блакитному кольорах.

Такий подарунок з патріотичною символікою сподобається справжнім українцям, адже це солодкі, ароматні смаколики. Зверху коробки ми зав'язали атласні жовті та блакитні стрічки, щоб зробити презент особливо патріотичним та святковим.

⦁ Матеріал коробки – шпон.
⦁ Розмір коробки – 15 х 15 см.
⦁ Усередині 10 печив з веселими, мотивуючими та підбадьорюючими передбаченнями для патріотів.
⦁ Зверху коробка обмотується атласною жовтою та блакитною стрічкою.",12,31,2,,
slug_032,,,печиво з передбаченням,https://kashalot.gift/ua/pechene-s-predskazaniyami/,320,Печиво з передбаченнями ,Печиво з передбаченням,"Подарунки можуть дивувати своїх отримувачів, можуть надихати, можуть вражати. Але чи багато ви знаєте презентів, здатних передбачати майбутнє? Наш солодкий подарунок для дівчини «печиво з передбаченнями» входить до їх рідкісного числа. Дар пророцтва у поєднанні з вишуканим, ніжним і солодким смаком – звучить досить оригінально та незвичайно, а значить, таке точно здивує вашу подругу, колегу чи другу половинку. Наше печиво з прогнозами у подарунок – ласощі, які урізноманітнюють звичний підхід до дарування солодощів. Шоколадки та цукерки – це, звичайно, добре, але куди краще, коли навіть простий та недорогий презент має ідею, посил, оригінальне призначення.

Такий подарунок для дівчини виглядає незвичайно та святково. Це красива коробка з прозорою кришкою, всередині якої знаходиться 10 великих печив у глазурі та обсипці. Кожне містить пророцтво, яке мотивує на подвиги і робить одержувачку щасливішою.",14,22,4,,
slug_033,,,печиво з передбаченням,https://kashalot.gift/ua/magicheskie-prorochestva-professora-treloni-garri-potter/,340,Печиво з передбаченнями Гаррі Поттер ,Печиво з передбаченням,"Це у книгах і фільмах учні Гоґвортсу швидко зрозуміли, що на уроках професора Трелоні з віщування можна померти від нудьги, так і не зазирнувши за межі реальності. Ми ж зробили пророцтва, які не просто працюють – вони піднімають настрій, роблять будь-яке свято незабутнім і трошки розповідають про майбутнє. Можливо, ми вмовили Трелоні постаратися для печива з пророкуваннями у подарунок, але нехай це залишиться нашим секретом. Вони ідеально доповнять будь-який великий презент, зробивши його більш тематичним та оригінальним. Але підійдуть вони і в якості окремого подарунка фанату Гаррі Поттера – невеликого, але такого атмосферного та смачного.

Ви можете купити печиво з пророкуваннями у магічній коробці, перев'язаній стрічкою. Усередині знаходиться цілих 10 штучок смаколиків. З ними не тільки чарівник, а й будь-який маґл може передбачати майбутнє! Цей подарунок поттероману зроблений із смачного тіста з гарним декором глазур'ю. Термін придатності такої коробочки – 2 місяці.

Кількість печива в упаковці: 10 шт.
Термін придатності: 2 місяці.
Дата виготовлення: вказана на стікері.
Усередині кожного печива - тоненький аркуш з пророцтвом. Не тільки чарівник, а й маґл зможе зазирнути у майбутнє!

Можна купити як самостійний подарунок, або додати його в бокс. Просто додайте товар в кошик разом з боксом і вкажіть, що бажаєте упаковати разом в коментарі до замовлення.",1,29,2,,
slug_034,,,чай,https://kashalot.gift/ua/dotrakijskij-chaj-hra-prestoliv-suveniry-ta-atrybutyka-podarunky-za-serialom-game-of-thrones/,180,Дотракійський чай,Чай,"Дотракійський чай - заряджає хоробрістю і впевненістю. Як бонус: робить тіло невразливим у бою.
Чорний цейлонський чай з шипшиною, яблуком, пелюстками квітів і ароматом тропічних фруктів. Вага: 80 г.",6,0,5,,
slug_035,,,чай,https://kashalot.gift/ua/chai-dlia-podorozhei-u-chasi-ta-prostori-doktor-khto-suveniry-ta-solodoshchi-podarunky-v%20styli-seryalu-doctor-who/,160,Чай для подорожей у часі та просторі ,Чай,"Відмінно відновлює енергію після подорожей у просторі та часі. І як говорив Доктор Хто: «Чаю, найміцнішого, пакетик не виймати!»
Всередині: чорний листовий чай з ароматом лимону та чебрецю, 95 г.",3,25,5,,
slug_036,,,чай,https://kashalot.gift/ua/chornyi-lystovyi-chai-beauty-suveniry-ta-solodoshchi-universalnyi-podarunok-dlia-zhinky/,160,"Чорний листовий чай ""Beauty""",Чай,Чорний пряний цейлонський чай з чебрецем і цедрою лимона. Вага: 95 г.,1,16,0,,
slug_037,,,кава,https://kashalot.gift/ua/aromatna-kava-suveniri-druzi-podarunok-fanatu-serialu-friends/,200,Запашна кава з кав'ярні Central Perk,Кава,"Пориньте у затишну атмосферу посиденьок з Друзями в кав'ярні «Central Perk» з ароматною кавою у стильному дизайні.
На вибір мелена, зернова кава. Об'єм: 150 г.
",0,18,0,,
slug_038,,,кава,https://kashalot.gift/ua/kava-enerhin-forte-suveniry-ta-solodoshchi-universalnyi-podarunok-dlia-zhinky-chy-cholovika/,200,"Мелена кава ""Енергін форте""",Кава,"Упаковка кави «Енергін форте».
• Властивості: наповнює енергією, моментально бадьорить, викликає бажання зробити все за 1 день.
• Всередині: мелена кава преміум якості.",13,42,1,,
slug_039,,,кава,https://kashalot.gift/ua/kofe-programmers-never-sleep-podarok-programistu/,200,"Кава ""Programmers never sleep"" ",Кава,"Кава «Programmers never sleep».
Всередині: мелена кава, 100% арабіка.
Вага: 150 г.",9,28,2,,
slug_040,,,Суміші для коктейлів,https://kashalot.gift/ua/shokoladnaja-ljagushka-garri-potter/,300,Шоколадне жабеня,Шоколад,"Шоколадне непосидюче жабеня ручної роботи. У книзі такі жаби є звичними для всіх шоколадних виробів, бо не дуже зручно було б куштувати шоколад, що вистрибує з рота.

Примітною деталлю шоколадних жаб є картка з портретом та біографічними даними знаменитого чарівника. Діти магів колекціонують ці вкладиші, як маггли збирають вкладиші від жуйок, кришечки та іграшки з кіндеру.
А ще, як і в будь-якому чарівному магазині солодощів, картки у шоколадних жабах будуть попадатися рандомно.

На картках наших чарівних жаб ви можете зустріти таких чарівників:
⦁ Албус Дамблдор
⦁ Гаррі Поттер
⦁ Ньют Скамандер

Склад: 54% чорний шоколад.
Вага: +-50 г.
Термін придатності: 3 місяці.",5,48,0,,
slug_041,,,Суміші для коктейлів,https://kashalot.gift/ua/chernij-shokolad-s-soljonoj-karamelju-podarok-dlja-dizajnera-shokolad-dlja-kreativnih-sladkoezhek/,190,Чорний шоколад із солоною карамеллю,Шоколад,"• Вага – 100 г.
• Чорний шоколад із солоною карамеллю.
• Дизайнерське креативне оформлення.",2,3,4,,
slug_042,,,Суміші для коктейлів,https://kashalot.gift/ua/belhiiskyi-molochnyi-shokolad-bez-tsukru-z-fundukom-spell-suveniry-ta-atrybutyka-solodkyi-podarunok/,150,Молочний шоколад без цукру з фундуком,Шоколад,"А чи можна без цукру? Справжньому бельгійському шоколаду можна все! Навіть без цукру, з ніжною горіховою начинкою ця плитка просто зникне миттєво. Вага: 80г. Розмір плитки: 10x10 см.",16,38,1,,
slug_043,Олексій,Знання,книги,https://rozetka.com.ua/ua/69297506/p69297506/,519,Жива 4D Енциклопедія Космос,Книга,"Космічна енциклопедія в доповненій реальності - це дивовижна книга, яка дозволить Вам відправитися в справжню космічну подорож до далеких зірок та відкрити секрети галактики Чумацького Шляху та всієї нашої Сонячної системи. Наша подорож починається прямо зараз. Ви готові вирушити у подорож?

Дізнатися про таємниці космосу може кожен за допомогою енциклопедії Космос у доповненій реальності від ТМ Devar. За допомогою безкоштовної програми DEVAR можна детально розглянути 62 основні космічні тіла без телескопа.

Наближайте, обертайте та розглядайте космічні об'єкти: планети, супутники та астероїди; Планету можна розкрити, дізнатися про її склад; Активуйте режим супутника та дізнайтеся про нього багато цікавого. Кожен супутник планети можна розглянути докладно та дізнатися факти про нього від робота-помічника; Поринайте прямо вглиб Стовпів творіння і чорної дірки; Дізнайтеся, де розташована планета щодо Сонця; Викличте вашого персонального робота-помічника, щоб дізнатися цікаві факти про космічні тіла.

Тримай свій пристрій над сторінкою і дивися, як вона оживає. Ти зможеш розглянути зображення з усіх боків, вивчити та запам'ятати основні терміни.",15,10,5,,
slug_044,,,книги,https://rozetka.com.ua/ua/354792483/p354792483/,239,Англійська мова за 4 тижні,Книга,"Автор:        Малгожата Глоговська
ISBN:        978-966-10-6143-8
Рік видання:        2022
Мова:         Українсько-англійська
Палітурка:        М'яка
Кількість сторінок:        465",12,40,0,,
slug_045,,,книги,https://rozetka.com.ua/ua/365174805/p365174805/,1224,"Енциклопедія в шкірі ""Віскі"" Марки і типи.",Книга,"Ілюстрована енциклопедія Віскі. Марки і типи Відмінна подарункова книга в шкіряній палітурці з футляром для любителів і цінителів віскі ""Віскі. Ілюстрована енциклопедія"". Шанувальники цього міцного ароматного алкогольного напою зможуть сповна насолодитися її читанням і не тільки - у книзі наведені рецепти приготування коктейлів на основі віскі. Із цього видання ви зможете дізнатися: - все про культуру та історію віскі - які способи виробництва віскі - як правильно пити віскі і золоті правила дегустації - про що свідчить інформація на етикетці - країни-виробники, марки віскі, основні типи віскі і особливості виробництва (Шотландія, Ірландія, США, Канада, Японія та інші) - рецепти приготування та правила прикраси коктейлів з віскі Матеріал: мідь, золото, шкіра Додатково: Під будь-яку книгу ми можемо виготовити футляр з натурального дерева. Ціну та строк виготовлення уточнюйте у менеджерів. Формат видання, мм: 190х270 Готова книга може відрізнятися від представленої на фото.",13,0,4,,
slug_046,,,курси,https://profstudy.com.ua/uk/,599,Курс конструювання та шиття,Курс,Під час навчання Ви опануєте найголовніші теми у конструюванні та пошитті одягу!,11,1,0,,
slug_047,,,курси,https://itvdn.com/ua/subscriptions/giftcertificate/6-months,1500,Подарунковий сертифікат itvdn,Курс,"Навчатися за відео курсами – це дуже зручно! Вивчай сучасні технології легко та із задоволенням! Оціни переваги навчання з відео курсів прямо зараз. Вибирай курс чи спеціальність, яка тебе цікавить та отримай безкоштовний пробний доступ. Дивись відео уроки, виконуй практичні завдання та формуй навички програмування на інтерактивному тренажері. Ми допоможемо тобі стати крутим фахівцем!",12,48,5,,
slug_048,,,курси,https://oxford-school.com.ua/uk/price.html,1900,Курси англійської,Курс,"Всім студентам школи Oxford School надається персональний номер, який використовується для входу в особистий обліковий запис на нашому сайті і для отримання різних бонусів та знижок.",2,29,2,,
slug_049,,Одяг,шкарпетки,,,,,,4,33,2,,
slug_050,,,шкарпетки,,,,,,12,37,5,,
slug_051,,,шкарпетки,,,,,,5,47,4,,
slug_052,,,футболки,,,,,,17,11,0,,
slug_053,,,футболки,,,,,,3,46,1,,
slug_054,,,футболки,,,,,,18,20,4,,
slug_055,,,худі,,,,,,11,2,4,,
slug_056,,,худі,,,,,,4,41,4,,
slug_057,,,худі,,,,,,2,17,3,,
slug_058,,,пледи з рукавами,,,,,,6,6,4,,
slug_059,,,пледи з рукавами,,,,,,12,8,0,,
slug_060,,,пледи з рукавами,,,,,,3,44,5,,
slug_061,,,тапці,,,,,,15,45,5,,
slug_062,,,тапці,,,,,,2,20,2,,
slug_063,,,тапці,,,,,,16,39,0,,
slug_064,Владислав Самокрик,Аксесуари,рюкзаки,https://samsonite.ua/ru/move-40-zhnochy-ryukzak-kj601024?iln=Category&ili=cat1146,3680,Рюкзак MOVE 4.0 DARK BLUE,Рюкзак,"Усі моделі створені для максимального комфорту. Крім того, рюкзаки оснащені світловідбивними деталями і карабіном для кріплення велосипедного ліхтаря. Міський стиль і екологічно чисті матеріали доповнюють цю колекцію.",18,1,5,,
slug_065,,,рюкзаки,https://www.moyo.ua/ryukzak_wenger_crango_16_krasno-chyornyy/547653.html,1500,"Рюкзак Wenger, Crango 16""",Рюкзак,"Переносьте своє спорядження стильно з рюкзаками серії Wenger Crango 16"". Завдяки спеціальному відділенню supersoft для розміщення 16-дюймового ноутбука, а також органайзеру для речей першої необхідності: шнури живлення, зарядні пристрої, письмове приладдя, візитні картки та багато іншого саме там, де вони вам потрібні. Wenger Crango 16 це ідеальний рюкзак, який можна взяти з собою практично куди завгодно. Завдяки внутрішньому поділу, ваші документи і папки залишаться недоторканими, а спеціальний патч забезпечить захист вам і вашому велосипеду, коли ви перебуваєте в дорозі.",13,14,2,,
slug_066,,,рюкзаки,https://www.moyo.ua/ryukzak_hp_renew_travel_15_6_laptop_backpack_2z8a3aa_/513857.html,2999,"Рюкзак HP Renew Travel 15.6"" Laptop Backpack",Рюкзак,"Погляньте на рюкзак для подорожей HP Renew Travel, у який зміститься ноутбук із діагоналлю 15,6 дюйма. Він зроблений з екологічних матеріалів. Акуратно розкладайте речі по безлічі кишень і фіксуйте рюкзак завдяки зручним ремінцям.",10,18,4,,
slug_067,,,чохли для ноутбуків,https://rozetka.com.ua/grand_x_slx_14g/p266124546/,359,"Чехол для ноутбука Grand-X SLX-14G 14""",Чохол,"Ця модель унікальна тим, що може використовуватися як як чохол, при цьому його ручка ховається, а сама вона поміщається у велику сумку або рюкзак, так і як незалежна портативна мінімалістична сумка. Ще одна відмінна риса - дуже м'яка, приємна на дотик внутрішня підкладка, яка захищає ноутбук від подряпин або інших дрібних пошкоджень. Чохол має зручну додаткову зовнішню кишеню на блискавці, яку можна використовувати для перенесення блока живлення, мишки, блокнота тощо.",3,6,4,,
slug_068,,,чохли для ноутбуків,https://rozetka.com.ua/grand-x-sf-15/p364314639/,225,Чехол для ноутбука Grand-X SF-15 15.6'',Чохол,"Чохол для ноутбука Grand-X SF-15 підійде для ноутбуків з діагоналлю 15.6"" і менше. Дана модель унікальна тим, що незважаючи на доступну ціну відмінно підходить для захисту ноутбука, м'яка, приємна на дотик фетрова тканина, захищає ноутбук від подряпин або інших дрібних пошкоджень. Переносити ноутбук можна як у чохлі, так і упакувавши чохол із пристроєм у сумку або рюкзак. Якщо ви любите, щоб ноутбук після деякого часу використання мав вигляд як новий, без потертостей і дрібних подряпин, такий чохол може бути цікавим вибором.",17,35,3,,
slug_069,,,чохли для ноутбуків,https://www.moyo.ua/chekhol_tucano_offroad_cam_13_14_kamuflyazh/538796.html,1 399,"Чехол Tucano Offroad CAM 13""/14""",Чохол,"Еластичний неопреновий чохол для ноутбуків 13"" і 14"" з протиударним зовнішнім бампером, що ефективно захищає пристрій від ударів і падінь. Оснащений системою Anti-Slip System, двома кутовими вушками, призначеними для фіксації пристрою, Second Skin Offroad має зручний отвір з подвійною тягою і м'яку, стійку до подряпин внутрішню частину.",12,10,5,,
slug_070,,,шопери,https://www.olx.ua/d/uk/obyavlenie/ko-sumki-patrotichn-shoperi-eko-sumka-slava-ukran-eko-torba-IDPccJt.html,280,"Еко-сумка ""Слава Україні""",Шопер,"Екоторба з патріотичним принтом.
Стильна та екологічна альтернатива поліетиеновим пакетам.
Щільна та натуральна тканина",10,42,2,,
slug_071,,,шопери,https://rozetka.com.ua/355648773/p355648773/,315,"Еко-сумка чорна ""Home""",Шопер,"Эко сумка (шоппер) - альтернативная замена полиэтиленовым пакетам и красивое решение;
Сумка сделана из плотной ткани и прослужит вам очень долго;
С нашей эко сумкой вы всегда будете оригинальными и неповторимыми;
По желанию можно изменить текст, рисунок или цвет нанесения;
А также можем сделать с любым вашим принтом.",14,13,5,,
slug_072,,,шопери,https://www.fatline.com.ua/ua/sumka-ya-mnogo-rabotayu.html,278,"Шопер ""Я багато працюю""",Шопер,"Шопер «Я багато працюю» (3249907) з колекції «Прикольні написи» – популярна позиція каталогу FatLine, яка відрізняється високою якістю як самого виробу, так і нанесеного принта. Екосумка зі 100% натуральної бавовни (саржа). Щільність тканини 220 г/м2, ручка 70 см. Матеріал основи - 100% бавовна (саржа). Тип друку - DTF-друк.
Принт стійкий до дії ультрафіолету, води, перепадів температури. За умов належного догляду довгий час зберігає колір, чіткість ліній і цілісність.",0,46,0,,
slug_073,,,брелоки,https://rozetka.com.ua/376309500/p376309500/,235,"Металевий брелок ""Я програміст""",Брелок,"Брелок на ключі з гравіюванням - це не тільки стильний аксесуар, а й гарний варіант подарунка для представників різних професій. На брелоку можна написати все, що завгодно, додати малюнок, смішний текст або цікаву цитату. Виріб надійно фіксується на ключах за допомогою спеціального кріпильного кільця. Брелок поставляється в красивій подарунковій коробці з логотипом і подарунковому пакетику.",11,15,4,,
slug_074,,,брелоки,https://rozetka.com.ua/brelok-na-kluci-zaryad-karta-ukrainy-metall-534/g43492222/,149,"Патріотичний брелок ""Карта України""",Брелок,"Представляємо вам подарунковий брелок для справжнього патріота! Стильний і яскравий брелок для ключів тішить око і створює чудовий настрій. Брелоки потрібні скрізь: у сумку, на ключі від будинку, на ключі від автомобіля, дехто навіть використовує брелок як тримач для картки. Це універсальний і корисний подарунок для кожного.",14,6,0,,
slug_075,,,брелоки,https://rozetka.com.ua/maxi-mx63048/p329349679/,50,"Брелок гумовий ""Бадьорий лінивець""",Брелок,"Щоб надати будь-якому створюваному образу оригінальну родзинку, часом буває достатньо скористатися невеликою прикрасою. Компанією Maxi представлений великий вибір брелоків, пофарбованих у яскраві кольори, які привертають увагу різноманітністю форм і різновидів. Вибір за вами.",16,21,0,,
slug_076,,Канцелярія,Блокноти,,,,,,20,15,1,,
slug_077,,,Блокноти,,,,,,6,18,5,,
slug_078,,,Блокноти,,,,,,17,22,5,,
slug_079,,,Планери,,,,,,19,9,1,,
slug_080,,,Планери,,,,,,5,28,5,,
slug_081,,,Планери,,,,,,3,41,3,,
slug_082,,,Магнітні дошки,,,,,,11,19,3,,
slug_083,,,Магнітні дошки,,,,,,19,4,2,,
slug_084,,,Магнітні дошки,,,,,,14,48,0,,
slug_085,,,Ручки,,,,,,13,33,4,,
slug_086,,,Ручки,,,,,,18,24,3,,
slug_087,,,Ручки,,,,,,2,42,4,,
